url,code,name,total_language_data_available,total_students,JK_GR3,GR4_GR6,GR7_GR8,female,male,primary_not_english,living_in_canada_less_than_2_years,living_in_canada_for_3_5_years
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4729,4729,Sir Samuel B Steele Junior Public School,352,352,199,153,,164,188,300,15,34
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3254,3254,Sloane Public School,329,329,254,,,157,172,218,23,49
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2064,2064,Smithfield Middle School,496,496,,,,240,256,347,16,32
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5364,5364,Spectrum Alternative Senior School,57,57,,,,35,21,12,0,1
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5278,5278,Sprucecourt Public School,350,351,200,104,47,171,180,202,8,28
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4726,4726,St Andrews Public School,492,492,289,107,96,242,250,358,29,78
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2034,2034,St George's Junior School,167,167,115,,,69,98,29,2,6
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4728,4728,St Margaret's Public School,274,275,120,97,58,149,126,137,13,15
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3336,3336,St. Andrew's Middle School,407,407,,,,187,218,242,14,28
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3260,3260,Stanley Public School,241,242,139,,,124,118,118,6,20
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3027,3027,Steelesview Public School,255,255,119,,,120,135,209,21,23
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3261,3261,Stilecroft Public School,225,225,175,,,96,129,143,7,6
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3262,3262,Summit Heights Public School,403,403,140,,,193,210,100,3,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5327,5327,Sunny View Junior and Senior Public School,78,78,40,28,10,25,53,40,0,7
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2018,2018,Sunnylea Junior School,254,254,188,,,114,140,35,3,2
